epoch,categorical_accuracy,loss,lr,val_1-shot_5-way_acc,val_loss
1,0.6567999999999998,1.3564754211557533,0.001,0.672,1.364904193210738
2,0.7064,1.2965414348134603,0.001,0.712,1.329945525545458
3,0.7112000000000003,1.2773685463545479,0.001,0.684,1.326163342790935
4,0.7752000000000001,1.2373209978050088,0.001,0.716,1.3195042457313875
5,0.7736,1.240454693546149,0.001,0.758,1.3076175600244477
6,0.7812000000000002,1.2307560102660577,0.001,0.758,1.2879738463999553
7,0.7936000000000009,1.2116222661863134,0.001,0.768,1.292741755634619
8,0.7896000000000006,1.2097197260762333,0.001,0.762,1.2676737761179886
9,0.8123999999999999,1.2051684124608029,0.001,0.762,1.2940852163466834
10,0.8012000000000001,1.2137683856816295,0.001,0.786,1.2726074275380712
11,0.8204000000000005,1.2122277523945346,0.001,0.796,1.2633262163621928
12,0.8344000000000004,1.1906760392607845,0.001,0.788,1.2624064151123895
13,0.8348000000000004,1.185544406363556,0.001,0.796,1.2956453566695028
14,0.828,1.1891917241700427,0.001,0.84,1.2376513026745108
15,0.8340000000000003,1.181121466772541,0.001,0.832,1.2340633009688693
16,0.8391999999999998,1.177666894587256,0.001,0.8,1.269876981728232
17,0.8364000000000005,1.1738835791482336,0.001,0.822,1.2517223467977168
18,0.8580000000000002,1.1724012136896051,0.001,0.796,1.2527660651492865
19,0.8663999999999998,1.1653457633425053,0.001,0.806,1.2328121164631338
20,0.8372000000000002,1.1799718905559131,0.001,0.796,1.26609431191717
21,0.8552000000000001,1.1663823001707798,0.001,0.832,1.2243828853933179
22,0.8628000000000001,1.164250709729087,0.001,0.804,1.2308018794062032
23,0.8455999999999999,1.1612000617738565,0.001,0.802,1.2468637732328864
24,0.8392000000000001,1.1780216464049187,0.001,0.838,1.2361821994066757
25,0.8292,1.1830222881075547,0.001,0.828,1.2489760922363657
26,0.8712000000000002,1.165255316424204,0.001,0.822,1.2219582480704512
27,0.8672000000000001,1.155679479606777,0.001,0.784,1.265496098456679
28,0.8592000000000003,1.1634355896947133,0.001,0.826,1.2389778170617018
29,0.8707999999999998,1.1583034359494413,0.001,0.832,1.2394414222650627
30,0.8656000000000001,1.158575784767121,0.001,0.832,1.2117087287315227
31,0.8752,1.1602110140016253,0.001,0.818,1.2733737617850076
32,0.8560000000000002,1.1634232788783747,0.001,0.818,1.2314085461535007
33,0.8652000000000002,1.152901455649811,0.001,0.836,1.2120458151845075
34,0.8592000000000004,1.1658026534514598,0.001,0.832,1.257391068781358
35,0.8884000000000003,1.1463843267704183,0.0005,0.826,1.2220550892335809
36,0.8876000000000002,1.1369803931188762,0.0005,0.844,1.2043381091637966
37,0.8891999999999998,1.1401632381434241,0.0005,0.872,1.2155569661613086
38,0.8864000000000003,1.133470878252174,0.0005,0.828,1.225669240210561
39,0.8940000000000005,1.134942029522085,0.0005,0.856,1.2152288621967182
40,0.8892000000000003,1.1334630404574937,0.0005,0.886,1.1921286509452822
41,0.8896000000000004,1.1399945202143862,0.0005,0.876,1.1924290953354317
42,0.8991999999999998,1.13865144280456,0.0005,0.864,1.2071116691740253
43,0.8847999999999999,1.1365392014007205,0.0005,0.87,1.1913308926663941
44,0.8959999999999999,1.1353345462036335,0.0005,0.874,1.2114905351272285
45,0.8964,1.12682278518821,0.0005,0.826,1.215905097358726
46,0.9024,1.128582780332552,0.0005,0.864,1.191673321187546
47,0.8847999999999999,1.1317674368682848,0.0005,0.846,1.2257747888319455
48,0.8960000000000001,1.125489747726707,0.0005,0.826,1.2309166014704895
49,0.9020000000000004,1.1268931792399648,0.0005,0.858,1.2026733010109327
50,0.9040000000000002,1.1231849163187273,0.0005,0.868,1.1999446019389515
51,0.9063999999999999,1.1175340001134415,0.0005,0.872,1.1877036032964299
52,0.8987999999999998,1.1300163083118817,0.0005,0.87,1.1804860528155898
53,0.8855999999999998,1.1247448354878917,0.0005,0.836,1.2186190710253333
54,0.9135999999999999,1.1106827151307386,0.0005,0.832,1.2194848418495168
55,0.9103999999999997,1.1214213689106014,0.0005,0.846,1.2091235785966712
56,0.9092000000000001,1.1080105566506508,0.0005,0.878,1.1981417375405672
57,0.8991999999999999,1.1205018819508459,0.0005,0.832,1.2163725894174056
58,0.8932000000000001,1.1282814096772769,0.0005,0.854,1.213448927588808
59,0.8944000000000001,1.1240419015268506,0.0005,0.872,1.2222356527704916
60,0.9096000000000001,1.1197339540384688,0.0005,0.88,1.1748813245719205
61,0.9244000000000002,1.1172035401785805,0.00025,0.894,1.165703548956557
62,0.8952,1.1249223871718799,0.00025,0.85,1.198760568697886
63,0.9104000000000002,1.1172768015112733,0.00025,0.852,1.1957822439306665
64,0.9188,1.0974848829831887,0.00025,0.852,1.199038095279105
65,0.9116,1.1092191354925058,0.00025,0.858,1.1933976435246285
66,0.9031999999999998,1.1123876191775623,0.00025,0.838,1.200959074311555
67,0.9168000000000004,1.1115708073683421,0.00025,0.84,1.2181939739623548
68,0.9104000000000002,1.1119300036507382,0.00025,0.836,1.1942715793613026
69,0.9127999999999997,1.1156796265819389,0.00025,0.858,1.1964522098661532
70,0.9231999999999998,1.1069175566766287,0.00025,0.874,1.1789045205578457
71,0.9191999999999999,1.0975914849632435,0.00025,0.858,1.189623291703191
72,0.9079999999999999,1.1114715085758213,0.00025,0.86,1.179227231330748
73,0.9120000000000001,1.1173936104124669,0.00025,0.854,1.1923707082158066
74,0.9083999999999994,1.111369410470902,0.00025,0.858,1.1931907324860151
75,0.9127999999999997,1.1029153990720761,0.00025,0.842,1.195981390613075
76,0.9115999999999999,1.1138802528777065,0.00025,0.862,1.1994837186268597
77,0.9152,1.1026050255726891,0.00025,0.846,1.2049956260986496
78,0.9156000000000002,1.0947015733710845,0.00025,0.886,1.1815258248981049
79,0.9068000000000002,1.108032395703645,0.00025,0.854,1.1815750776376694
80,0.9152000000000001,1.1022874504252673,0.00025,0.856,1.1877777161954273
81,0.9068000000000002,1.1103901508638325,0.00025,0.868,1.1962848850471206
82,0.9159999999999999,1.1043830552859035,0.000125,0.87,1.2030624960512768
83,0.9207999999999995,1.0954382976394432,0.000125,0.874,1.187668428422046
84,0.9127999999999998,1.093721857388884,0.000125,0.838,1.196660461669864
85,0.9335999999999999,1.0963571033522335,0.000125,0.864,1.2100661251567615
86,0.9207999999999997,1.0931844243393902,0.000125,0.888,1.1874766813225464
87,0.9180000000000001,1.106034782725635,0.000125,0.888,1.1718184680266364
88,0.9083999999999997,1.1037031549872232,0.000125,0.88,1.1747181449848103
89,0.9116,1.1002703179510802,0.000125,0.896,1.1635132997202964
90,0.9247999999999998,1.0926399002590053,0.000125,0.876,1.1752260690812892
91,0.9107999999999996,1.10277462727544,0.000125,0.86,1.1795802319166662
92,0.9212,1.0919802670017562,0.000125,0.878,1.1803435904171211
93,0.9167999999999996,1.0945081546074147,0.000125,0.87,1.1717957075041658
94,0.9259999999999998,1.0948416105729393,0.000125,0.868,1.1894883156328053
95,0.9307999999999998,1.0945909316024491,0.000125,0.844,1.190030532755804
96,0.9187999999999998,1.092008023964091,0.000125,0.836,1.207181563341732
97,0.912,1.1031981038735872,0.000125,0.862,1.1846047382983562
98,0.9327999999999997,1.0840635969570382,0.000125,0.854,1.1801463453940817
99,0.914,1.0967552518994659,0.000125,0.868,1.1710897351826115
100,0.9171999999999996,1.096681852228281,0.000125,0.856,1.184090858379365
