epoch,categorical_accuracy,loss,lr,val_1-shot_5-way_acc,val_loss
1,0.2927999999999999,1.5741598226582445,0.001,0.302,1.5693189392870037
2,0.29239999999999994,1.5610972036530555,0.001,0.286,1.5702655927834723
3,0.28519999999999984,1.567328116259406,0.001,0.332,1.5596782192816983
4,0.31159999999999977,1.5523036838175341,0.001,0.268,1.5563682505572967
5,0.3131999999999998,1.556012903678522,0.001,0.304,1.563737845604417
6,0.2952,1.5605239540342952,0.001,0.354,1.5495333660788906
7,0.29279999999999984,1.5693355284174921,0.001,0.318,1.5458725013322936
8,0.3311999999999999,1.5429796804186509,0.001,0.306,1.5635295566944674
9,0.32919999999999994,1.5532634734515094,0.001,0.296,1.5649901152325478
10,0.33640000000000003,1.5441624024599392,0.001,0.278,1.5707164647222929
11,0.31359999999999993,1.555522626333328,0.001,0.304,1.5568770421284266
12,0.33519999999999994,1.5448508598284918,0.001,0.284,1.5648872783374121
13,0.3123999999999999,1.5506680531296277,0.001,0.286,1.557327639543534
14,0.3251999999999999,1.548659225859837,0.001,0.294,1.5583313087039852
15,0.31519999999999987,1.554236539342965,0.001,0.342,1.5366703684796876
16,0.3336,1.5489285442701268,0.001,0.278,1.5587692029197187
17,0.32519999999999993,1.5476307880373223,0.001,0.312,1.5530532848470116
18,0.3187999999999999,1.551871828500752,0.001,0.314,1.5627192089862623
19,0.3552,1.5405244044558495,0.001,0.32,1.5457425506158304
20,0.32639999999999986,1.5513658746865227,0.001,0.342,1.543994675891577
21,0.33599999999999985,1.5448162980977722,0.001,0.286,1.5772198539504267
22,0.33959999999999996,1.5425843722645098,0.001,0.306,1.5589392671898579
23,0.36839999999999984,1.5292074552323243,0.001,0.31,1.5544070202354148
24,0.33640000000000003,1.5443928587543316,0.001,0.314,1.5658922913603484
25,0.3403999999999999,1.5444990240265737,0.001,0.328,1.5393430310013743
26,0.34079999999999994,1.543139277965673,0.001,0.306,1.5472158495545654
27,0.35240000000000005,1.529679812610507,0.0005,0.288,1.5744603615044501
28,0.3396,1.5389953408864476,0.0005,0.304,1.5531487265876296
29,0.34999999999999987,1.537827107278421,0.0005,0.316,1.550819720169148
30,0.3396,1.5401123435873072,0.0005,0.288,1.5695761005214994
31,0.3496,1.5308801544257304,0.0005,0.334,1.5314684379657115
32,0.3407999999999998,1.5392595483103608,0.0005,0.318,1.5526266198652692
33,0.3643999999999998,1.5266680608173178,0.0005,0.33,1.5493839276795245
34,0.36039999999999994,1.5294667939264874,0.0005,0.328,1.5529581288113679
35,0.36239999999999983,1.522445237065356,0.0005,0.362,1.5441953508952495
36,0.3435999999999999,1.538791295481599,0.0005,0.316,1.5510438581566697
37,0.3628,1.5257875343693805,0.0005,0.304,1.5406911376267303
38,0.3779999999999999,1.5185408987567408,0.0005,0.336,1.5549397262676168
39,0.3607999999999999,1.529869584387834,0.0005,0.338,1.5412671934194582
40,0.3479999999999998,1.5339822237629528,0.0005,0.348,1.5363323805069773
41,0.34480000000000005,1.5418106249437886,0.0005,0.37,1.532110575521536
