epoch,categorical_accuracy,loss,lr,val_1-shot_10-way_acc,val_loss
1,0.5704999999999999,1.9832819900522707,0.001,0.574,1.980803739856192
2,0.6725,1.8881404813122018,0.001,0.612,1.9290222013802933
3,0.6603999999999999,1.8630324400233542,0.001,0.63,1.93630015293886
4,0.6560999999999999,1.873019784042449,0.001,0.622,1.940515258793588
5,0.6996000000000001,1.8389628716301667,0.001,0.655,1.914327444446702
6,0.7036000000000001,1.8405632110963597,0.001,0.648,1.909290277955923
7,0.7235,1.8320624556638836,0.001,0.701,1.9043258051481429
8,0.7578000000000001,1.8064584124948768,0.001,0.696,1.8643734169280208
9,0.7378,1.8054846713707982,0.001,0.719,1.8759306368342163
10,0.7511000000000001,1.7970560644234248,0.001,0.688,1.8853189474467207
11,0.7763000000000002,1.7771652875218031,0.001,0.672,1.8698803542114482
12,0.7445000000000003,1.79423326428453,0.001,0.693,1.8759478982031816
13,0.7806000000000001,1.77778343978739,0.001,0.698,1.8701120407026466
14,0.7608999999999998,1.7861775659755836,0.001,0.741,1.8563544936374528
15,0.7774999999999999,1.783365308648252,0.001,0.753,1.8541007498268263
16,0.7773000000000002,1.7758999297573033,0.001,0.685,1.8742083510900867
17,0.7747999999999994,1.7672335326688715,0.001,0.666,1.914946990140395
18,0.7812000000000002,1.7676698399786117,0.001,0.695,1.8571148525865342
19,0.7877,1.7710460868315296,0.001,0.746,1.869036832252821
20,0.7988000000000004,1.7598318858406758,0.001,0.719,1.8533345976906832
21,0.7916000000000003,1.76775905426275,0.001,0.701,1.8641501668603007
22,0.7920999999999999,1.7595023739028612,0.001,0.701,1.854702345339188
23,0.7833,1.759544837097872,0.001,0.736,1.8505930215451483
24,0.8024999999999999,1.7487258705691873,0.001,0.745,1.8796345933649452
25,0.7995999999999998,1.7503267879474855,0.001,0.717,1.8434895481773683
26,0.8107,1.753974307794193,0.001,0.714,1.8398253771917465
27,0.7957,1.7536245046144767,0.001,0.753,1.8401006041029626
28,0.8115999999999999,1.7415327182361113,0.001,0.737,1.8260065111684751
29,0.8128000000000004,1.7475496987601775,0.001,0.744,1.8184501465842855
30,0.8226999999999998,1.7328120872303598,0.001,0.76,1.8238290406705309
31,0.8332999999999999,1.7320228203547412,0.001,0.776,1.8318480524581184
32,0.8183,1.7362114916707079,0.001,0.736,1.8390442121959354
33,0.8097,1.7378446327648425,0.001,0.74,1.8222740969516924
34,0.8251999999999998,1.7299999398663461,0.001,0.73,1.8463733194230352
35,0.8295000000000001,1.730446432227653,0.001,0.701,1.8353166758111406
36,0.8095,1.7330071137909715,0.001,0.73,1.822769207184966
37,0.8260999999999996,1.7263136145051563,0.001,0.738,1.823402824394133
38,0.8210000000000002,1.7296763754637217,0.001,0.754,1.8123399604259316
39,0.8241999999999998,1.7163356587718113,0.001,0.741,1.823295775023183
40,0.8273000000000001,1.7200436491496416,0.001,0.728,1.8184489227961294
41,0.8276,1.7257761680334225,0.001,0.752,1.8170712530150892
42,0.8338000000000001,1.7180539675201651,0.001,0.758,1.806282206917829
43,0.8320000000000001,1.7151502445764069,0.001,0.763,1.8068112247502088
44,0.8242000000000003,1.723460571783128,0.001,0.753,1.8224130954533928
45,0.8411999999999997,1.7120951858279534,0.001,0.73,1.8242917303936297
46,0.8430999999999998,1.7124040810761718,0.001,0.74,1.813649566403525
47,0.8403999999999999,1.7147584809340464,0.001,0.746,1.8271504368044735
48,0.8481000000000001,1.7077185721491062,0.001,0.736,1.8130283617628362
49,0.8276,1.7147496053089888,0.001,0.761,1.8041602076764742
50,0.8438000000000001,1.7085153515898839,0.001,0.778,1.8013222063327403
51,0.8389000000000002,1.7052416740002503,0.001,0.745,1.820548152271717
52,0.8418999999999996,1.7038114876117638,0.001,0.769,1.8089347418257242
53,0.8527000000000001,1.7037170827841197,0.001,0.751,1.8029285828569424
54,0.8442999999999999,1.7095078040192069,0.001,0.708,1.8224007366065667
55,0.8361999999999997,1.7128034927279348,0.001,0.768,1.8068735824085491
56,0.8423999999999998,1.7093934250638754,0.001,0.768,1.8062826271310368
57,0.8510000000000004,1.6986470013864323,0.001,0.75,1.8186972975566498
58,0.848,1.6963191492113874,0.001,0.778,1.8078157020087993
59,0.8479999999999995,1.695115464928305,0.001,0.761,1.8187834574987858
60,0.8403999999999998,1.7026826080003155,0.001,0.771,1.8162926460353004
61,0.8419,1.7018072135836497,0.001,0.755,1.8121968287095982
62,0.8469999999999996,1.7006235231624374,0.001,0.799,1.7894992758919228
63,0.8433999999999999,1.6932983794089693,0.001,0.765,1.8511602819974982
64,0.8434999999999999,1.6951783894638965,0.001,0.737,1.8121297539198429
65,0.8406999999999998,1.696615814145308,0.001,0.745,1.8113209797069163
66,0.8393999999999998,1.6918596962400605,0.001,0.719,1.8264087883461382
67,0.8394000000000001,1.7024594044245567,0.001,0.749,1.8122367658985234
68,0.8564,1.6963788357883371,0.001,0.756,1.849811379024638
69,0.8500999999999999,1.6933102176521713,0.001,0.76,1.8159133125825306
70,0.8402000000000003,1.7019795464718728,0.001,0.76,1.8044450066926223
71,0.8687,1.6831090899111358,0.001,0.776,1.7976448451094917
72,0.8517,1.6943163634601037,0.001,0.735,1.8209568271039451
73,0.8679999999999995,1.6801794212650103,0.001,0.762,1.7955743444522037
74,0.8349000000000004,1.6944532960029588,0.001,0.757,1.857542589324047
75,0.8713999999999998,1.6771806012923003,0.001,0.758,1.7911235303060473
76,0.8432999999999999,1.6910538472503203,0.001,0.773,1.8078812751270517
77,0.8600999999999999,1.6848027385935398,0.001,0.771,1.794487074547702
78,0.8545,1.6857839820936384,0.001,0.773,1.7918208157728435
79,0.8601000000000002,1.6845048406831014,0.001,0.771,1.8092287361650203
80,0.8578999999999998,1.6845661944616734,0.001,0.761,1.8008189903623566
81,0.8531,1.6845718345424228,0.001,0.779,1.8052687581042786
82,0.8694999999999996,1.6826776437902646,0.001,0.795,1.8162486771069855
83,0.8683999999999997,1.6768507871733584,0.0005,0.768,1.7849470684603386
84,0.8706999999999999,1.6672393680564008,0.0005,0.759,1.7875976584600395
85,0.8635,1.6745889039611432,0.0005,0.746,1.791110260144205
86,0.8653000000000002,1.6776334940329216,0.0005,0.758,1.7984703181573363
87,0.8737999999999999,1.672614672070513,0.0005,0.781,1.777254218705727
88,0.8480000000000004,1.6711707340276845,0.0005,0.774,1.7844284192458975
89,0.8432000000000004,1.6842962590098731,0.0005,0.782,1.78740149695563
90,0.8699000000000007,1.674200944787828,0.0005,0.709,1.7984616238193987
91,0.8571,1.6714172966072396,0.0005,0.737,1.8012108834827791
92,0.8626999999999998,1.666375921378708,0.0005,0.75,1.7820615154667825
93,0.8681,1.6627452008995975,0.0005,0.767,1.7876632965511758
94,0.8632000000000001,1.6640151938979013,0.0005,0.76,1.7828946061160864
95,0.8583000000000002,1.6730788558127139,0.0005,0.761,1.7991678882131072
96,0.8654999999999998,1.6643399566553612,0.0005,0.779,1.7710442955029715
97,0.8634999999999999,1.6744236456522414,0.0005,0.788,1.7558022973694363
98,0.8657999999999996,1.6655525631301356,0.0005,0.739,1.7929456100325505
99,0.8458000000000001,1.6745281064308473,0.0005,0.759,1.7861009884822867
100,0.8622999999999998,1.6690059993897959,0.0005,0.745,1.8105448736653795
