epoch,categorical_accuracy,loss,lr,val_1-shot_5-way_acc,val_loss
1,0.28199999999999986,100.95337985105633,0.001,0.262,33.56592471583462
2,0.27879999999999994,19.112608132506143,0.001,0.258,11.355506038066734
3,0.26919999999999983,8.121217308828461,0.001,0.264,6.341624704800414
4,0.26799999999999985,4.332244493250186,0.001,0.258,3.2075851723548054
5,0.26519999999999994,2.8030221453140887,0.001,0.256,2.2261396344541415
6,0.2735999999999998,1.985155735060416,0.001,0.258,2.140454413352095
7,0.28159999999999974,1.9117733414548423,0.001,0.264,1.777976154940755
8,0.2911999999999999,1.7605863884767419,0.001,0.276,1.690766268464686
9,0.28599999999999987,1.7163570346970178,0.001,0.294,1.8902134734718612
10,0.27599999999999986,1.7444445324796987,0.001,0.274,1.6656232267892275
11,0.30519999999999997,1.6729322606663433,0.001,0.288,1.6592490628369736
12,0.2875999999999999,1.6629087204255404,0.001,0.306,1.6921979488180787
13,0.28239999999999993,1.6348885200309684,0.001,0.272,1.6728403628575392
14,0.3052,1.6361471055997625,0.001,0.274,1.6216794594380015
15,0.29600000000000004,1.6247353070344612,0.001,0.304,1.5883415630157796
16,0.29119999999999985,1.6246545092025673,0.001,0.302,1.576495872458944
17,0.30359999999999987,1.6196956873528254,0.001,0.28,1.5751106428631112
18,0.30839999999999984,1.6655747899269313,0.001,0.29,1.6938053505161752
19,0.3128,1.615041499002772,0.001,0.306,1.573734872263287
20,0.3007999999999999,1.608003818019275,0.001,0.3,1.591134199027946
21,0.3007999999999999,1.6887241824231183,0.001,0.312,1.8399074418843757
22,0.30839999999999984,1.662153791848139,0.001,0.306,1.665744328661453
23,0.3095999999999998,1.5804806811416983,0.001,0.304,1.6236162700804009
24,0.2895999999999999,1.5813656920171177,0.001,0.306,1.584617000669486
25,0.31679999999999997,1.5610122522968646,0.001,0.318,1.5633292630212787
26,0.31239999999999996,1.573433136789938,0.001,0.328,1.6312169330527746
27,0.3096,1.5768113132651709,0.001,0.314,1.5937158257598132
28,0.3175999999999999,1.6076449834856503,0.001,0.326,1.7015479250294667
