epoch,categorical_accuracy,loss,lr,val_1-shot_10-way_acc,val_loss
1,0.6973,1.192151350504262,0.001,0.735,0.813460796735301
2,0.8358999999999999,0.5350095998208559,0.001,0.82,0.5917930586340425
3,0.8671999999999999,0.39955656490132746,0.001,0.813,0.6023308772201497
4,0.8740000000000007,0.3896450468083357,0.001,0.847,0.47001601113588176
5,0.9042000000000001,0.2982350757258222,0.001,0.881,0.3612782499647373
6,0.9098000000000005,0.28137288495290436,0.001,0.87,0.39452033088737815
7,0.9244,0.23580545675136086,0.001,0.881,0.4209015650759147
8,0.9183000000000001,0.2529137453412516,0.001,0.892,0.35311843120636655
9,0.9356000000000003,0.1979815553785517,0.001,0.897,0.3213934882317206
10,0.9383999999999995,0.21277190606782745,0.001,0.898,0.30653550704479565
11,0.9394999999999993,0.18485419885340906,0.001,0.903,0.31046497922949307
12,0.9335999999999995,0.21586722426571417,0.001,0.902,0.30917218670655644
13,0.9401,0.17979504475356298,0.001,0.912,0.25896017905170843
14,0.9490000000000001,0.1663696863765719,0.001,0.916,0.2728550537368093
15,0.9547999999999999,0.14168131017182028,0.001,0.911,0.24774614139613546
16,0.9492999999999996,0.15764569749858418,0.001,0.911,0.2583338557306656
17,0.9558999999999996,0.14318660841976624,0.001,0.928,0.24150672466994139
18,0.9593999999999996,0.12246146805634257,0.001,0.919,0.24235988411180143
19,0.9625999999999999,0.12009243459105626,0.001,0.913,0.27259843721209476
20,0.9650999999999995,0.10325096619506662,0.0005,0.936,0.19901588997192907
21,0.9661000000000002,0.10424004126619932,0.0005,0.941,0.198219312549806
22,0.9744999999999997,0.08441781389109507,0.0005,0.938,0.19365989326967875
23,0.9669999999999991,0.1011612198598554,0.0005,0.943,0.1763830878738824
24,0.9696999999999996,0.10227263490954407,0.0005,0.939,0.20469343732347758
25,0.9660999999999998,0.10675513051595086,0.0005,0.944,0.23060103916681815
26,0.9640999999999994,0.10254315901903804,0.0005,0.958,0.1387811120938224
27,0.9684999999999994,0.08984535908095076,0.0005,0.931,0.22708038468182434
28,0.9664999999999998,0.09811891781166601,0.0005,0.943,0.19802383663792802
29,0.9731999999999996,0.08005677095099176,0.0005,0.932,0.23883749723586345
30,0.9709999999999996,0.09065700131653566,0.0005,0.942,0.21086395690047532
31,0.9709,0.08277865635344936,0.0005,0.928,0.2516811595965455
32,0.9705999999999995,0.08593193786529643,0.0005,0.954,0.16611675013943966
33,0.9647999999999998,0.11620338561448149,0.0005,0.926,0.22525180655662871
34,0.9726999999999992,0.08353050334232924,0.0005,0.935,0.23101540953342733
35,0.9666999999999996,0.10018932975021916,0.0005,0.945,0.17624473537660537
36,0.9754999999999998,0.0754570828744041,0.0005,0.944,0.21662385720160612
37,0.9708999999999998,0.08938959276841692,0.0005,0.923,0.2484015259840039
38,0.9759999999999998,0.07387339625498783,0.0005,0.947,0.1523614572754858
39,0.9758999999999999,0.07441872235209822,0.0005,0.942,0.1819880629781583
40,0.9764999999999994,0.08421723779269161,0.00025,0.946,0.16766349254734306
